Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,ext.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.ext.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.ext.starbucks.com.txt
http,80,testweb.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.testweb.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.testweb.starbucks.com.txt
http,80,sorry.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.sorry.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.sorry.starbucks.com.txt
http,80,workspace.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.workspace.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.workspace.starbucks.com.txt
http,80,fp.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.fp.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.fp.starbucks.com.txt
http,80,token.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.token.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.token.starbucks.com.txt
http,80,hybrid.starbucks.com,BadStatus,/home/kali/Desktop/2024-05-24_001313/screens/http.hybrid.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.hybrid.starbucks.com.txt
http,80,aw.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.aw.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.aw.starbucks.com.txt
http,80,communities.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.communities.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.communities.starbucks.com.txt
http,80,www.alumni.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.www.alumni.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.www.alumni.starbucks.com.txt
http,80,mena.starbucks.com,BadStatus,/home/kali/Desktop/2024-05-24_001313/screens/http.mena.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.mena.starbucks.com.txt
http,80,crl.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.crl.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.crl.starbucks.com.txt
http,80,athome.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.athome.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.athome.starbucks.com.txt
http,80,departments.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.departments.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.departments.starbucks.com.txt
http,80,philippines.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.philippines.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.philippines.starbucks.com.txt
http,80,beta.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.beta.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.beta.starbucks.com.txt
http,80,rsi.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.rsi.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.rsi.starbucks.com.txt
http,80,testshare.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.testshare.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.testshare.starbucks.com.txt
http,80,stories.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.stories.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.stories.starbucks.com.txt
http,80,investor.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.investor.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.investor.starbucks.com.txt
http,80,news.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.news.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.news.starbucks.com.txt
http,80,odyssey.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.odyssey.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.odyssey.starbucks.com.txt
http,80,mail.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.mail.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.mail.starbucks.com.txt
http,80,cloudapps.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.cloudapps.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.cloudapps.starbucks.com.txt
http,80,preview.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.preview.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.preview.starbucks.com.txt
