URL,80
b.ns.a.starbucks.com,X,
testthth.starbucks.com,X,
eapi-pi.starbucks.com,X,
testhkzh.starbucks.com,X,
investor.starbucks.com,X,
s03.productioncontroller.starbucks.com,X,
communities-ec3.starbucks.com,X,
id-cert.starbucks.com,X,
testvnvi.starbucks.com,X,
testruru.starbucks.com,X,
mi.starbucks.com,X,
testvnen.starbucks.com,X,
archergrc.starbucks.com,X,
mta834.e.starbucks.com,X,
testiden.starbucks.com,X,
jiratest.starbucks.com,X,
b.mx.e.starbucks.com,X,
eastus-svcardproxyus.starbucks.com,X,
livingourvalues.starbucks.com,X,
bomgaratlas03.starbucks.com,X,
bomgarlab.starbucks.com,X,
e.ns.e.stories.starbucks.com,X,
sts-vis-cloud3-iad.starbucks.com,X,
l.e.stories.starbucks.com,X,
ext.starbucks.com,X,
stageuken.starbucks.com,X,
load.openapi.starbucks.com,X,
federate.starbucks.com,X,
developer.starbucks.com,X,
pd00.gifts.starbucks.com,X,
reply.scmtest.starbucks.com,X,
w.e.starbucks.com,X,
api.np.playbuilder.starbucks.com,X,
c.ns.e.stories.starbucks.com,X,
www.solutions.starbucks.com,X,
sts-vis-dev-cloud1.starbucks.com,X,
ariba-asp-ct.starbucks.com,X,
cupmagic.starbucks.com,X,
raw.scm.starbucks.com,X,
dialin.starbucks.com,X,
media.scmtest.starbucks.com,X,
geo.starbucks.com,X,
sbux-viz-cert.starbucks.com,X,
certcdhapps-oid.starbucks.com,X,
np.sei.starbucks.com,X,
assets.scm.starbucks.com,X,
bomgaratlas02.starbucks.com,X,
wfmnarpt.starbucks.com,X,
gist.scmtest.starbucks.com,X,
ct00.mfa.starbucks.com,X,
pd01.mfa.starbucks.com,X,
globalstagewcmsvcs.starbucks.com,X,
f.ns.e.stories.starbucks.com,X,
fp.starbucks.com,X,
auth-iad.starbucks.com,X,
eastus-svcardproxyloadus.starbucks.com,X,
scmtest.starbucks.com,X,
ct00.gifts.starbucks.com,X,
orchestra.starbucks.com,X,
test13.openapi.starbucks.com,X,
eastus-svcardproxydevus.starbucks.com,X,
b.ns.e.stories.starbucks.com,X,
athome.starbucks.com,X,
testhuhu.starbucks.com,X,
spectrum.starbucks.com,X,
bi-test-mstr-web.starbucks.com,X,
test14federate.starbucks.com,X,
wfmnarptps.starbucks.com,X,
bi-cap-tb.starbucks.com,X,
wfmnarptst.starbucks.com,X,
test8.openapi.starbucks.com,X,
d.ns.a.starbucks.com,X,
testsecureui.starbucks.com,X,
test17.openapi.starbucks.com,X,
storelink-owa.starbucks.com,X,
scmdev.starbucks.com,X,
eastus-svcardproxytestus.starbucks.com,X,
ps01.gifts.starbucks.com,X,
westus-svcardproxyus.starbucks.com,X,
securepayment.starbucks.com,X,
eapi-scmariba-sd.starbucks.com,X,
d02-1-ag.productioncontroller.starbucks.com,X,
ucp.starbucks.com,X,
pages.scm.starbucks.com,X,
test.developer.starbucks.com,X,
b.mx.e.stories.starbucks.com,X,
eapi-dev.starbucks.com,X,
wfmnaptnpc.starbucks.com,X,
testchde.starbucks.com,X,
testzaen.starbucks.com,X,
apps.starbucks.com,X,
testthen.starbucks.com,X,
test7.openapi.starbucks.com,X,
sat.starbucks.com,X,
intg.mfa.starbucks.com,X,
s03-tm.productioncontroller.starbucks.com,X,
meet.starbucks.com,X,
ps.spc.starbucks.com,X,
testmyen.starbucks.com,X,
testassets.starbucks.com,X,
trace.starbucks.com,X,
testplpl.starbucks.com,X,
retailwebaccesschd.starbucks.com,X,
wfmnalcnpc.starbucks.com,X,
oapi.starbucks.com,X,
testbrpt.starbucks.com,X,
testkhen.starbucks.com,X,
testusen.starbucks.com,X,
events.starbucks.com,X,
wfmnaposps.starbucks.com,X,
mrs2.starbucks.com,X,
test1.openapi.starbucks.com,X,
svcardproxytestus.starbucks.com,X,
bi-ri.starbucks.com,X,
testgrel.starbucks.com,X,
wfmnaptnct.starbucks.com,X,
retailwebappsemea.starbucks.com,X,
scm-asp-st.starbucks.com,X,
sixevents-api.starbucks.com,X,
awcm.starbucks.com,X,
creative.starbucks.com,X,
i.a.starbucks.com,X,
datacafe.starbucks.com,X,
cert-digitalcontent-origin.starbucks.com,X,
mcdn-cert.starbucks.com,X,
sts-vis-dev-cloud2.starbucks.com,X,
cert.starbucks.com,X,
scoapportaltest.starbucks.com,X,
prodpospa1.starbucks.com,X,
wfmnapos.starbucks.com,X,
rsi-rv.starbucks.com,X,
share.starbucks.com,X,
sts-vis-dev-cloud3.starbucks.com,X,
ps00.mfa.starbucks.com,X,
happyhour.starbucks.com,X,
mdpjs.nonprod.starbucks.com,X,
test17securepayment.starbucks.com,X,
lyncdiscover.starbucks.com,X,
t02-tm.productioncontroller.starbucks.com,X,
mta440.a.starbucks.com,X,
mdpjs.nonprod2.starbucks.com,X,
partner-ec3.starbucks.com,X,
atlas.starbucks.com,X,
api.playbuilder.starbucks.com,X,
prodpospa2.starbucks.com,X,
search-ec3.starbucks.com,X,
testglobalassets.starbucks.com,X,
www2.starbucks.com,X,
w.e.stories.starbucks.com,X,
wfmnaposct.starbucks.com,X,
cdx-ss.starbucks.com,X,
bomgaratlaschd.starbucks.com,X,
stagesecurepayment.starbucks.com,X,
eapi.starbucks.com,X,
ld00.gifts.starbucks.com,X,
pdx.starbucks.com,X,
ps00.gifts.starbucks.com,X,
docs.starbucks.com,X,
redeemtweetauth.starbucks.com,X,
spectrum-api.starbucks.com,X,
testares.starbucks.com,X,
gist.scm.starbucks.com,X,
x.e.stories.starbucks.com,X,
mobility4.starbucks.com,X,
test14securepostback.openapi.starbucks.com,X,
uploads.scmtest.starbucks.com,X,
cdx-ps.starbucks.com,X,
bomgarchd.starbucks.com,X,
a.ns.a.starbucks.com,X,
givegood.starbucks.com,X,
testatde.starbucks.com,X,
testphen.starbucks.com,X,
trace-cert.starbucks.com,X,
testinen.starbucks.com,X,
jss.starbucks.com,X,
testtrtr.starbucks.com,X,
stage.sei.starbucks.com,X,
devinternal.gifting.starbucks.com,X,
test8securepostback.openapi.starbucks.com,X,
help.starbucks.com,X,
rsi-wat.starbucks.com,X,
sentry.starbucks.com,X,
de-de.test.starbucks.com,X,
testnlnl.starbucks.com,X,
inmail-kyn.starbucks.com,X,
testdede.starbucks.com,X,
mysite-ec3.starbucks.com,X,
deepbrew-preprod-api.starbucks.com,X,
pd.spc.starbucks.com,X,
app.load.starbucks.com,X,
gsoc-help.starbucks.com,X,
fb1.starbucks.com,X,
hybrisdevmail.starbucks.com,X,
dev.starbucks.com,X,
testroro.starbucks.com,X,
odyssey.starbucks.com,X,
content-prod-live.cert.starbucks.com,X,
ehd-help.starbucks.com,X,
sbuxhost101.starbucks.com,X,
departments-ec3.starbucks.com,X,
sbuxhost100.starbucks.com,X,
insight.starbucks.com,X,
stagesecurehost-iad.openapi.starbucks.com,X,
spectrum-pd.starbucks.com,X,
roast.starbucks.com,X,
toolshub-ec3.starbucks.com,X,
testchen.starbucks.com,X,
testptpt.starbucks.com,X,
testieen.starbucks.com,X,
stageglobalassets.starbucks.com,X,
sus.gtm.starbucks.com,X,
sts-vis-dev-cloud4-iad.starbucks.com,X,
loadsecurepaymenthub.starbucks.com,X,
sts-vis-cert2-iad.starbucks.com,X,
d01.productioncontroller.starbucks.com,X,
cloudapps.gtm.starbucks.com,X,
edap-nonprod.starbucks.com,X,
papercut-iad.starbucks.com,X,
previewptpt.starbucks.com,X,
previewiden.starbucks.com,X,
eapi-p.gtm.starbucks.com,X,
fintech-asp-sd.starbucks.com,X,
previewruru.starbucks.com,X,
cdx-atm-pd.starbucks.com,X,
connectadmininteg.starbucks.com,X,
ucpr-jp.starbucks.com,X,
www.historias.starbucks.com,X,
a.mx.e.stories.starbucks.com,X,
mypartnerinfo-ext.gtm.starbucks.com,X,
pdx-asp-ct.starbucks.com,X,
communities.starbucks.com,X,
previewhuen.starbucks.com,X,
r01-ssa.productioncontroller.starbucks.com,X,
previewsesv.starbucks.com,X,
sdcatalog.starbucks.com,X,
partnercentral.starbucks.com,X,
activesync-iad3.starbucks.com,X,
r01-3-ag.productioncontroller.starbucks.com,X,
traceability.starbucks.com,X,
cdx-atm-ct.starbucks.com,X,
msdev-sts-chd.starbucks.com,X,
d03.productioncontroller.starbucks.com,X,
fr-ca.test.starbucks.com,X,
globalstandardstest.starbucks.com,X,
mydailytest.starbucks.com,X,
previewchfr.starbucks.com,X,
westus.digitalcart.starbucks.com,X,
sdcatalogadmin-pd.starbucks.com,X,
connectadminstaging.starbucks.com,X,
eastus.digitalcart.starbucks.com,X,
fintech-asp.starbucks.com,X,
d02-3-ag.productioncontroller.starbucks.com,X,
datapulse.starbucks.com,X,
cdx-atm-ps.starbucks.com,X,
digitalcart.starbucks.com,X,
d03-ssa.productioncontroller.starbucks.com,X,
previewthen.starbucks.com,X,
previewroro.starbucks.com,X,
previewbren.starbucks.com,X,
focus-rest-ct.starbucks.com,X,
datapulse-uat.starbucks.com,X,
eastus.digitalcart-test.starbucks.com,X,
d03-2-ag.productioncontroller.starbucks.com,X,
deepbrewbeta-prod-api.starbucks.com,X,
r01.productioncontroller.starbucks.com,X,
em924.refer.starbucks.com,X,
www.test.starbucks.com,X,
pt-br.test.starbucks.com,X,
roastery.starbucks.com,X,
f.a.starbucks.com,X,
preview.test.starbucks.com,X,
coffeeblogs.starbucks.com,X,
f.e.starbucks.com,X,
wfmnapayps.starbucks.com,X,
codeload.scmtest.starbucks.com,X,
app.starbucks.com,X,
reply.scm.starbucks.com,X,
beta.starbucks.com,X,
wfmnapaydv.starbucks.com,X,
test14.openapi.starbucks.com,X,
test15.openapi.starbucks.com,X,
connecttest.starbucks.com,X,
pro-asp-api.starbucks.com,X,
cdx-sd.starbucks.com,X,
cdx-pd.starbucks.com,X,
mta440.e.starbucks.com,X,
pdx-qa.starbucks.com,X,
sus.starbucks.com,X,
westus.digitalcart-cert.starbucks.com,X,
ucpc.starbucks.com,X,
integration.ucpc.starbucks.com,X,
pro-asp-api-dev.starbucks.com,X,
wfmnarptct.starbucks.com,X,
jsslab.starbucks.com,X,
pro-asp-api-cert.starbucks.com,X,
prod.athome.starbucks.com,X,
tazoteatime.starbucks.com,X,
testchfr.starbucks.com,X,
sso-group2.starbucks.com,X,
testnzen.starbucks.com,X,
wfmnaptnst.starbucks.com,X,
bomgarwest.starbucks.com,X,
bomgareast.starbucks.com,X,
wfmnapimst.starbucks.com,X,
retail-ec3.starbucks.com,X,
hybrisstgmail.starbucks.com,X,
trace-dev.starbucks.com,X,
wfmnarptdv.starbucks.com,X,
mydailydev.starbucks.com,X,
ny7p01lppmta283.e.starbucks.com,X,
pages.scmtest.starbucks.com,X,
preview.starbucks.com,X,
sd-asp-ct.starbucks.com,X,
testfrfr.starbucks.com,X,
testbgbg.starbucks.com,X,
avatars.scmtest.starbucks.com,X,
trace-api.starbucks.com,X,
app.dev.starbucks.com,X,
testmxes.starbucks.com,X,
testpees.starbucks.com,X,
hybrisprodmail.starbucks.com,X,
dr-www.starbucks.com,X,
spectrum-dev.starbucks.com,X,
load-digitalcontent-origin.starbucks.com,X,
svcardproxydevus.starbucks.com,X,
westus.digitalcart-dev.starbucks.com,X,
mta432.e.starbucks.com,X,
bomgaratlas01.starbucks.com,X,
trace-api-systest.starbucks.com,X,
pf.ucpc.starbucks.com,X,
bomgaratlasiad.starbucks.com,X,
sip.starbucks.com,X,
testaten.starbucks.com,X,
ny7p01lppmta258.e.starbucks.com,X,
ws1.starbucks.com,X,
test.sei.starbucks.com,X,
rsi-rlp.starbucks.com,X,
bomgariad.starbucks.com,X,
deepbrew-prod-api.starbucks.com,X,
testkzkk.starbucks.com,X,
prod01.gifts.starbucks.com,X,
sts-vis-dev-cloud4.starbucks.com,X,
eapi-ct.starbucks.com,X,
teams-ec3.starbucks.com,X,
newsassets.starbucks.com,X,
bcassets.starbucks.com,X,
testcafr.starbucks.com,X,
stageatde.starbucks.com,X,
sso-group-chd.starbucks.com,X,
sdcatalog-ct.starbucks.com,X,
sdcatalog-st.starbucks.com,X,
stagesorry-iad.starbucks.com,X,
shipper-cert.starbucks.com,X,
activesync.gtm.starbucks.com,X,
prism-poc.sdcatalog.starbucks.com,X,
westus.digitalcart-test.starbucks.com,X,
d01-ssa.productioncontroller.starbucks.com,X,
previewruen.starbucks.com,X,
eapi-gd.starbucks.com,X,
datapulse-dev-app.starbucks.com,X,
cdx-atm-gd.starbucks.com,X,
previewbgen.starbucks.com,X,
datapulse-test-app.starbucks.com,X,
previewnlen.starbucks.com,X,
ps.ucp.starbucks.com,X,
CRT.SH,X,
loadsecureui.starbucks.com.br,X,
pdx-asp-sd.starbucks.com,X,
www.starbucks.com.ar,X,
mobility4.starbucks.com.cn,X,
starbucks.com,X,
s03-3-ag.productioncontroller.starbucks.com,X,
www.starbucks.com.cy,X,
www.starbucks.com.my,X,
p01-3-ag.productioncontroller.starbucks.com,X,
ssa.productioncontroller.starbucks.com,X,
starbucks.com.bn,X,
www.starbucks.com.bn,X,
www.starbucks.com.pe,X,
www.starbucks.com.tr,X,
www.starbucks.com.hk,X,
en.starbucks.com.cy,X,
www.starbucks.com.kz,X,
www.starbucks.com.mx,X,
zh.starbucks.com.hk,X,
www.starbucks.com.co,X,
www.starbucks.com.gr,X,
www.starbucks.com.kh,X,
pt-br.test.starbucks.com.br,X,
starbucks.com.br,X,
stagesecureui.starbucks.com.br,X,
www.starbucks.com.uy,X,
www.starbucks.com.br,X,
en.starbucks.com.gr,X,
secureui.starbucks.com.br,X,
testsecureui.starbucks.com.br,X,
testwww.starbucks.com.br,X,
