URL,80
stagedeenstore.starbucks.com,X,
partner.starbucks.com,X,
tst1bi.starbucks.com,X,
openapi.starbucks.com,X,
connect.starbucks.com,X,
ews.starbucks.com,X,
edge.starbucks.com,X,
prodcrmpospa2-dr.starbucks.com,X,
tstplmpub.starbucks.com,X,
upstanders.starbucks.com,X,
globalassetshost.starbucks.com,X,
wwwstage.starbucks.com,X,
digitalassets.starbucks.com,X,
stagefederate.starbucks.com,X,
uploads.scm.starbucks.com,X,
testcdhapps-oid.starbucks.com,X,
cloudid-dev.starbucks.com,X,
mypartnerinfo-ext.starbucks.com,X,
hybrid.starbucks.com,X,
wcmsvcs.starbucks.com,X,
test8-iad.starbucks.com,X,
edam.starbucks.com,X,
promotions.starbucks.com,X,
render.scmtest.starbucks.com,X,
certupgpospa1.starbucks.com,X,
rsi.starbucks.com,X,
secureui2.starbucks.com,X,
mpi.starbucks.com,X,
sts-vis.starbucks.com,X,
test3www.starbucks.com,X,
kdreq-a.starbucks.com,X,
retail.starbucks.com,X,
pegasus.starbucks.com,X,
itsm.starbucks.com,X,
gasianet.starbucks.com,X,
awconsole-cert.starbucks.com,X,
members.starbucks.com,X,
community.starbucks.com,X,
produpgpospa1-dr.starbucks.com,X,
pwss.starbucks.com,X,
sts-vis1.starbucks.com,X,
orderingprofile.starbucks.com,X,
msdev-sts.starbucks.com,X,
devcrmapps.starbucks.com,X,
previewczcs.starbucks.com,X,
xss.starbucks.com,X,
ipm-dev.starbucks.com,X,
sso-group.starbucks.com,X,
selfservice.starbucks.com,X,
sts-vis-cloud3.starbucks.com,X,
certupgpospa2.starbucks.com,X,
productioncontroller.starbucks.com,X,
activesync-iad2.starbucks.com,X,
stagesecureui.starbucks.com,X,
aw.starbucks.com,X,
groupon.starbucks.com,X,
tst1crmapps.starbucks.com,X,
bi-cert-mstr-web.starbucks.com,X,
devcdhapps.starbucks.com,X,
devcdhapps-oid.starbucks.com,X,
wfmnapaypc.starbucks.com,X,
mcdn-edge-cert.starbucks.com,X,
sts-vis-cert-cloud1.starbucks.com,X,
play.starbucks.com,X,
sts-vis-cert-cloud4.starbucks.com,X,
sts-vis-cloud4.starbucks.com,X,
sts-vis-cert-main.starbucks.com,X,
id-dev.gtm.starbucks.com,X,
globalpreview.starbucks.com,X,
stagecaen.starbucks.com,X,
mta1.em.insights.starbucks.com,X,
previewbrpt.starbucks.com,X,
test15-chd.starbucks.com,X,
sts-vis-cert-cloud3.gtm.starbucks.com,X,
cpath-iad.starbucks.com,X,
archive.starbucks.com,X,
id.gtm.starbucks.com,X,
eapi-np.gtm.starbucks.com,X,
mcdn-edge.starbucks.com,X,
pwss-chd2.starbucks.com,X,
stageusen.starbucks.com,X,
sts-vis-dev-cloud1.gtm.starbucks.com,X,
id-cert.gtm.starbucks.com,X,
sts-vis-dev-cloud3.gtm.starbucks.com,X,
awconsole-cert.gtm.starbucks.com,X,
previewvnvi.starbucks.com,X,
previewtrtr.starbucks.com,X,
previewuken.starbucks.com,X,
wcmsvcs-iad.starbucks.com,X,
appcafe.gtm.starbucks.com,X,
sts-vis-cert-cloud2-iad.starbucks.com,X,
t02-3-ag.productioncontroller.starbucks.com,X,
cert-communities-ec3.starbucks.com,X,
previewvnen.starbucks.com,X,
sts-vis-cert-cloud3-iad.starbucks.com,X,
appcafe-cert-iad.starbucks.com,X,
test2-iad.starbucks.com,X,
pdx-asp-st.starbucks.com,X,
sts-vis-cert-cloud3.starbucks.com,X,
bomgaratlaskyn.starbucks.com,X,
test14globalsecureui.starbucks.com,X,
mta432.a.starbucks.com,X,
shipper-ssyst.starbucks.com,X,
testglobalassetshost.starbucks.com,X,
testbnen.starbucks.com,X,
ews-iad2.starbucks.com,X,
awcm.gtm.starbucks.com,X,
shipper.gtm.starbucks.com,X,
testgsen.starbucks.com,X,
d03-1-ag.productioncontroller.starbucks.com,X,
toolshub.starbucks.com,X,
focus-rest.starbucks.com,X,
en-gb.test.starbucks.com,X,
crl.gtm.starbucks.com,X,
dr-sorry.starbucks.com,X,
previewusen.starbucks.com,X,
sts-vis-cloud2.starbucks.com,X,
